"ID","Country","Year","Quarter","Intercatch Metier Tag","Vessel Length Category","FDF Vessel flag","Area","Species","Landings (tonnes)","Value (euros)"
"ENG_212","GG",2017,1,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","OTH",1.651,1931.08
"ENG_213","GG",2017,1,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","RJA",0.051,136.87
"ENG_214","GG",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BLL",0.065,153.99
"ENG_215","GG",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","OTH",0.164,300.22
"ENG_216","GG",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","RJA",1.575,3879.2
"ENG_217","GG",2017,2,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.d","OTH",12.663,84574.02
"ENG_218","GG",2017,2,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.e","OTH",28.576,133694.97
"ENG_219","GG",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","ANF",0.085,270.55
"ENG_220","GG",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","BLL",0.019,113.2
"ENG_221","GG",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","BSS",0.003,33.72
"ENG_222","GG",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","OTH",17.127,42160.43
"ENG_223","GG",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","RJA",0.004,3.32
"ENG_224","GG",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","SOL",0.005,36.52
"ENG_225","GG",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","TUR",0.009,104.24
"ENG_226","GG",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BLL",0.01,0
"ENG_227","GG",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","OTH",0.063,0
"ENG_228","GG",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","RJA",1.201,0
"ENG_229","GG",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","SOL",0.002,0
"ENG_230","GG",2017,3,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.d","OTH",26.563,70715.29
"ENG_231","GG",2017,3,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.e","OTH",11.787,42658.64
"ENG_232","GG",2017,3,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","OTH",11.067,31303.76
"ENG_233","GG",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","ANF",0.01,31.85
"ENG_234","GG",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BLL",0.081,159.91
"ENG_235","GG",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BSS",0.007,0
"ENG_236","GG",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","MUR",0.055,0
"ENG_237","GG",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","OTH",4.394,874.46
"ENG_238","GG",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","POL",0.013,0
"ENG_239","GG",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","RJA",17.973,1189.23
"ENG_240","GG",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","SOL",0.073,222.67
"ENG_241","GG",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","TUR",0.035,57.98
"ENG_454","IM",2017,1,"MIS_MIS_0_0_0_HC",NA,"NULL","27.6.a","OTH",3.456,10355.77
"ENG_455","IM",2017,1,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.a","OTH",211.798,336041.92
"ENG_456","IM",2017,1,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.a","POL",0.054,91.25
"ENG_457","IM",2017,1,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.a","OTH",443.153,1384232.4
"ENG_458","IM",2017,1,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.a","WHG",0.015,23.95
"ENG_459","IM",2017,2,"OTB_CRU_70-99_0_0_all","10<24m","NULL","27.7.a","OTH",2.812,2933.83
"ENG_460","IM",2017,2,"FPO_CRU_0_0_0_all",NA,"NULL","27.4","OTH",0.097,110.67
"ENG_461","IM",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.6.a","OTH",26.857,84426.95
"ENG_462","IM",2017,2,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.a","OTH",135.8,195425.23
"ENG_464","IM",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.a","BLL",0.014,80.99
"ENG_465","IM",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.a","OTH",274.523,746692.54
"ENG_466","IM",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.a","POL",0.168,422.05
"ENG_468","IM",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.a","TUR",0.162,1390.2
"ENG_469","IM",2017,2,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.e","OTH",0.38,433
"ENG_470","IM",2017,3,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.a","OTH",157.852,217700.71
"ENG_471","IM",2017,3,"OTB_CRU_70-99_0_0_all","10<24m","NULL","27.7.a","ANF",0.123,0
"ENG_472","IM",2017,3,"OTB_CRU_70-99_0_0_all","10<24m","NULL","27.7.a","OTH",552.753,738582.19
"ENG_473","IM",2017,3,"OTB_CRU_70-99_0_0_all","10<24m","NULL","27.7.a","RJA",0.25,333.65
"ENG_474","IM",2017,3,"MIS_MIS_0_0_0_HC",NA,"NULL","27.6.a","OTH",67.232,199921.15
"ENG_475","IM",2017,3,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.a","OTH",105.15,180139.61
"ENG_476","IM",2017,3,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.a","OTH",20.72,25783.38
"ENG_477","IM",2017,4,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.a","OTH",2.031,2739.33
"ENG_478","IM",2017,4,"OTB_CRU_70-99_0_0_all","10<24m","NULL","27.7.a","OTH",12.546,28244.21
"ENG_479","IM",2017,4,"MIS_MIS_0_0_0_HC",NA,"NULL","27.6.a","OTH",8.929,27876.41
"ENG_480","IM",2017,4,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.a","OTH",83.85,171715.69
"ENG_481","IM",2017,4,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.a","ANF",0.042,0
"ENG_482","IM",2017,4,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.a","OTH",247.456,770167.3
"ENG_651","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","ANF",0.097,356.15
"ENG_652","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BLL",0.221,1646.32
"ENG_653","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BSS",0.172,1809.69
"ENG_654","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","COD",0.079,254.3
"ENG_655","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","DAB",0.011,3.38
"ENG_656","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","FLE",0.007,3.76
"ENG_657","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","HAD",0.102,72.78
"ENG_658","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","LEM",0.521,2360.75
"ENG_659","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","LIN",0.047,70.32
"ENG_660","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","MUR",0.049,460.85
"ENG_661","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","OTH",9.918,8837.5
"ENG_662","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","PLE",0.68,1100.78
"ENG_663","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","POL",0.043,147.66
"ENG_664","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","RJA",11.037,41902.06
"ENG_665","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","SOL",0.063,655.4
"ENG_666","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","TUR",0.223,2594.67
"ENG_667","JE",2017,1,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","WHG",2.076,524.36
"ENG_668","JE",2017,1,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.a","OTH",74.401,84867.68
"ENG_669","JE",2017,1,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","OTH",2.371,4601.34
"ENG_670","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","ANF",0.334,1208.97
"ENG_671","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BLL",0.071,525.69
"ENG_672","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BSS",0.055,586.33
"ENG_673","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","COD",0.088,282.5
"ENG_674","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","DAB",0.036,52.08
"ENG_675","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","HAD",1.932,3399.59
"ENG_676","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","HKE",0.002,1.38
"ENG_677","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","LEM",2.656,16631.09
"ENG_678","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","LEZ",0.001,0.39
"ENG_679","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","LIN",0.015,20.74
"ENG_680","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","MUR",0.053,661.78
"ENG_681","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","OTH",11.222,10332.42
"ENG_682","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","PLE",0.855,1421.3
"ENG_683","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","POL",0.009,19.87
"ENG_684","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","RJA",3.855,7535.18
"ENG_685","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","SOL",0.085,1001.08
"ENG_686","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","TUR",0.142,1299.98
"ENG_687","JE",2017,2,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","WHG",2.057,1505.42
"ENG_688","JE",2017,2,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.a","OTH",57.666,64891.97
"ENG_689","JE",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","ANF",0.018,70.82
"ENG_690","JE",2017,2,"MIS_MIS_0_0_0_HC",NA,"NULL","27.7.e","OTH",6.834,17590.31
"ENG_691","JE",2017,2,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.f","OTH",0.339,689.04
"ENG_692","JE",2017,2,"FPO_CRU_0_0_0_all",NA,"NULL","27.7.g","OTH",0.374,504.13
"ENG_693","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","ANF",0.324,1189.97
"ENG_694","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BLL",0.137,752.61
"ENG_695","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BSS",0.073,949.74
"ENG_696","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","COD",0.001,3.44
"ENG_697","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","DAB",0.024,29.59
"ENG_698","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","HAD",1.299,2837.45
"ENG_699","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","HKE",0.01,18.99
"ENG_700","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","LEM",0.755,4299.52
"ENG_701","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","LEZ",0.008,15.15
"ENG_702","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","MUR",0.047,398.74
"ENG_703","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","OTH",12.679,21889.98
"ENG_704","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","PLE",0.479,811.98
"ENG_705","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","POL",0.007,26.36
"ENG_706","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","RJA",2.58,827.02
"ENG_707","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","SOL",0.069,1094.63
"ENG_708","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","TUR",0.086,698.97
"ENG_709","JE",2017,3,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","WHG",1.034,729.62
"ENG_710","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","ANF",0.339,1240.25
"ENG_711","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BLL",0.263,1324.61
"ENG_712","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","BSS",0.226,1767.1
"ENG_713","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","DAB",0.028,32
"ENG_714","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","HAD",0.115,151.38
"ENG_715","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","HKE",0.001,1.2
"ENG_716","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","LEM",0.065,426.14
"ENG_717","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","MUR",0.06,137.43
"ENG_718","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","OTH",19.491,61606.71
"ENG_719","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","PLE",0.585,1114.8
"ENG_720","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","POL",0.002,1.57
"ENG_721","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","RJA",15.864,33.6
"ENG_722","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","SOL",0.108,1258.42
"ENG_723","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","TUR",0.064,538.16
"ENG_724","JE",2017,4,"OTB_DEF_70-99_0_0_all","10<24m","NULL","27.7.e","WHG",1.142,653.12
"ENG_24951","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","ANF",5.724,13477.8
"ENG_24952","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","BLL",1.992,7631.55
"ENG_24953","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","BSS",0.122,1192.96
"ENG_24954","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","COD",5.902,11736.34
"ENG_24955","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","DAB",0.076,60.05
"ENG_24956","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","FLE",0.149,55.84
"ENG_24957","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","GUG",1.525,694.67
"ENG_24958","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","HAD",2.275,1672.88
"ENG_24959","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","HKE",0.167,216.73
"ENG_24960","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","LEM",3.199,5466.63
"ENG_24961","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","LIN",0.354,351.24
"ENG_24962","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","MUR",0.418,837.99
"ENG_24963","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","NEP.27.4.outFU",0.015,79.28
"ENG_24964","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","NEP.FU.6",229.564,833137.89
"ENG_24965","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","OTH",13.201,42537.71
"ENG_24966","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","PLE",12.413,11605.12
"ENG_24967","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","POK",0.003,3.56
"ENG_24968","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","POL",0.094,150.63
"ENG_24969","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","RJA",9.73,14100.86
"ENG_24970","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","SOL",6.782,35335.52
"ENG_24971","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","TUR",4.198,26909.93
"ENG_24972","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","WHG",42.823,27633.66
"ENG_24973","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.4","WIT",0.292,257.74
"ENG_24974","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","ANF",0.272,609.69
"ENG_24975","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","BLL",0.073,360.35
"ENG_24976","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","BSS",0.004,39.24
"ENG_24977","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","COD",0.542,1345.64
"ENG_24978","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","DAB",0.011,4.38
"ENG_24979","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","FLE",0.006,0.05
"ENG_24980","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","GUG",0.195,83.27
"ENG_24981","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","HAD",0.214,194.14
"ENG_24982","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","HKE",0.01,12.78
"ENG_24983","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","LEM",0.068,139.47
"ENG_24984","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","LEZ",0.001,2.28
"ENG_24985","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","LIN",0.011,11.41
"ENG_24986","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","MUR",0.021,35.08
"ENG_24987","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","NEP.FU.6",2.166,8216.14
"ENG_24988","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","OTH",4.749,12074.75
"ENG_24989","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","PLE",3.047,2501.15
"ENG_24990","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","RJA",1.679,1993.6
"ENG_24991","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","SOL",0.204,1404.85
"ENG_24992","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","TUR",0.176,1353.69
"ENG_24993","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","WHG",1.217,1070.23
"ENG_24994","UKE",2017,1,"OTB_DEF_>=120_0_0_all","<10m","NULL","27.4","WIT",0.02,17.11
"ENG_24995","UKE",2017,1,"TBB_CRU_16-31_0_0_all","<10m","NULL","27.4","OTH",12.34,83787.33
"ENG_24996","UKE",2017,1,"TBB_CRU_16-31_0_0_all","<10m","NULL","27.4","RJA",0.181,206.46
"ENG_24997","UKE",2017,1,"TBB_DEF_70-99_0_0_all","<10m","NULL","27.4","ANF",0.007,22.96
"ENG_24999","UKE",2017,1,"TBB_DEF_70-99_0_0_all","<10m","NULL","27.4","LEM",0.007,25.84
"ENG_25000","UKE",2017,1,"TBB_DEF_70-99_0_0_all","<10m","NULL","27.4","OTH",0.009,11.75
"ENG_25001","UKE",2017,1,"TBB_DEF_70-99_0_0_all","<10m","NULL","27.4","PLE",0.024,46.2
"ENG_25002","UKE",2017,1,"TBB_DEF_70-99_0_0_all","<10m","NULL","27.4","RJA",0.048,105.67
"ENG_25003","UKE",2017,1,"TBB_DEF_70-99_0_0_all","<10m","NULL","27.4","SOL",0.141,1305.6
"ENG_25004","UKE",2017,1,"TBB_DEF_70-99_0_0_all","<10m","NULL","27.4","TUR",0.009,65.65
"ENG_25005","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.6.a","NEP.FU.13",5.347,20914.22
"ENG_25006","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.a","BLL",0.042,215.76
"ENG_25007","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.a","COD",0.014,31.82
"ENG_25008","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.a","NEP.FU.14",0.164,624.89
"ENG_25009","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.a","OTH",0.259,520.15
"ENG_25010","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.a","PLE",0.136,91.01
"ENG_25011","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.a","RJA",0.839,1593.76
"ENG_25012","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.a","SOL",0.024,198.36
"ENG_25013","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.a","WIT",0.001,1.71
"ENG_25014","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","ANF",0.15,476.5
"ENG_25015","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","BLL",0.063,310.79
"ENG_25016","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","BSS",0.07,669.05
"ENG_25017","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","COD",0.317,993.13
"ENG_25018","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","DAB",0.078,49.94
"ENG_25019","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","FLE",0.223,127.03
"ENG_25020","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","GUG",0.021,23.95
"ENG_25021","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","HAD",0.031,41.86
"ENG_25022","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","HKE",0.004,4.96
"ENG_25023","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","LEM",0.408,1748.1
"ENG_25024","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","MUR",0.001,12.64
"ENG_25025","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","NEP.27.7.outFU",1.062,4016.33
"ENG_25026","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","OTH",7.091,12194.83
"ENG_25027","UKE",2017,1,"OTB_CRU_70-99_0_0_all","<10m","NULL","27.7.d","PLE",7.575,8240.49
